sentence_num,diff_line,county,state,facemask_prediction
424,"Resources Available During Crisis COVID-19 CASES IN LOWELL DATETOTAL NUMBER OF CONFIRMED CASES8/14/203,0658/13/203,0598/12/203,0598/11/203,0598/10/203,0578/9/203,0538/8/203,0458/7/203,0398/6/203,0408/5/203,0368/4/203,0358/3/203,0328/2/203,0308/1/203,0267/31/203,0247/30/203,0227/29/203,0227/28/203,0207/27/203,0187/26/203,0167/25/203,0107/24/203,0057/23/202,9957/22/202,9907/21/202,9887/20/202,9877/19/202,9807/18/202,9707/17/202,9687/16/202,9667/15/202,9587/14/202,9567/13/202,9547/12/202,9517/11/202,9427/10/202,9377/9/20202,9267/8/20202,9247/7/20202,9247/6/20202,9097/5/20202,9027/4/20202,9017/3/20202,8997/2/20202,8967/1/20202,8956/30/20202,8956/29/20202,8946/28/20202,8896/27/20202,8776/26/20202,8666/25/20202,8536/24/20202,8536/23/20202,8496/22/20202,8456/21/20202,8456/20/20202,8426/19/20202,8216/18/20202,8146/17/20202,8076/16/20202,8046/15/20202,7936/14/20202,7906/13/20202,7846/12/20202,7776/11/20202,7656/10/20202,7556/9/20202,7526/8/20202,7456/7/20202,7336/6/20202,7226/5/20202,7106/4/20202,6866/3/20202,6636/2/20202,6696/1/20202,6595/31/20202,6435/30/20202,6355/29/20202,6025/28/20202,5915/27/20202,5675/26/20202,5685/25/20202,5645/24/20202,5595/23/20202,5325/22/20202,4945/21/20202,4865/20/20202,4565/19/20202,4285/18/20202,3745/17/20202,3715/16/20202,3245/15/20202,2655/14/20202,2395/13/20202,2135/12/20202,1905/11/20202,1625/10/20202,1325/9/20202,0835/8/20202,0375/7/20202,0365/6/20202,0005/5/20201,9495/4/20201,9205/3/20201,8755/2/20201,8195/1/20201,7644/30/20201,6804/29/20201,6544/28/20201,5804/27/20201,5684/24/20201,3844/23/20201,3044/22/20201,0944/21/20201,0364/20/20201,0114/19/20208974/18/20208514/17/20208004/16/20207064/15/20206594/14/20206054/13/20205654/12/20205384/11/20204474/10/20203584/9/20203054/8/20202524/7/20202174/6/20202094/5/20201804/4/20201624/3/20201344/2/20201214/1/20201053/31/2020883/30/2020813/28/2020543/27/2020453/26/20203003/25/20202103/24/20201203/16/20202ENHANCED DATA REPORT THROUGH 8/7/2020 [UPDATED WEEKLY] $(document).ready(function (e) { renderSlideshowIfApplicable($('#divEditor' + '17d13fff-d50b-475c-b69f-0ec9dc844155')); }); Important Coronavirus Tips and Information from the CDCHow It SpreadsSymptomsPrevention and TreatmentWhat To Do If You're SickFAQs .widget .textContent p:first-child { padding-top: 0px; margin-top: 0px; } Additional InformationCDC FactsheetMassachusetts Department of Public Health InformationGovernor Baker's State of Emergency Declaration .widget .textContent p:first-child { padding-top: 0px; margin-top: 0px; } Scraping from http://lowellma.gov/ Not scrapped Scraping from http://lowellma.gov/31/Departments Not scrapped Scraping from http://lowellma.gov/275/Health Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/12356 Not scrapped Scraping from http://mass.gov/reopening Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/11596 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11798 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11960 A PDF HERE Scraping from https://www.mass.gov/doc/covid-19-average-daily-incidence-rate-august-11-2020/download A PDF HERE Scraping from https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/12596 Not scrapped Scraping from http://lowellma.gov//mass.gov/stopthespread Not scrapped Scraping from https://www.buoyhealth.com/symptom-checker/?configuration=ma_covid&concern=coronavirus Not scrapped Scraping from https://memamaps.maps.arcgis.com/apps/webappviewer/index.html?id=eba3f0395451430b9f631cb095febf13 Not scrapped Scraping from https://www.lchealth.org/ Not scrapped Scraping from https://www.mass.gov/executive-orders/no-591-declaration-of-a-state-of-emergency-to-respond-to-covid-19 Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/12356/Phase-3-Reopening-Graphic2-01?bidId= Not scrapped Scraping from https://www.mass.gov/news/baker-polito-administration-announces-new-initiatives-to-stop-spread-of-covid-19 Not scrapped Scraping from https://www.mass.gov/info-details/reopening-massachusetts Not scrapped Scraping from http://lowellma.gov/facecoverings Not scrapped Scraping from http://mass.gov/MAtraveler Not scrapped Scraping from https://www.mass.gov/doc/revised-gatherings-order-august-7-2020/download A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12827 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12737 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12738 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12690 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12702 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12647 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12648 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12595 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12465 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12449/PRESS-RELEASE-Lowell-City-Hall-to-Reopen-for-Limited-Hours?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12442 Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/12401 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12351 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12352 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12396 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12356 Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/12392 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12352 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12351 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12332 A PDF HERE Scraping from https://www.lowellma.gov/DocumentCenter/View/12326/PRESS-RELEASE-CVS-Rapid-Testing-to-Conclude-Operations_62520?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12247 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12246 Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/12243 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12198 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12174 A PDF HERE Scraping from http://www.lowellma.gov/DocumentCenter/View/12159/City-Council-Approves-Ordinance-Allowing-Expanded-Outdoor-Dining?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12158 Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/12156/PRESS-RELEASE-City-of-Lowell-Cancels-Summer-Youth-Recreation-Programs?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12142 Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/12134/June-5-Coronavirus-Data-Report?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12141 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12033/May-29?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11959 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11956/May-22-Coronavirus-Data-Report?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11827/May-15-Report?bidId= A PDF HERE Scraping from https://youtu.be/tEjLijy3uuw Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/11751 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11657 A PDF HERE Scraping from https://www.youtube.com/watch?v=qEKkqYEyK_A Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/11598/April-27-City-of-Lowell-Data-Report?bidId= A PDF HERE Scraping from https://www.youtube.com/watch?v=2UqkOZePNBc&feature=youtu.be Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/11514/April-16_City-of-Lowell_Coronaviurs-Data-Report?bidId= A PDF HERE Scraping from https://www.uml.edu/alert/coronavirus/4-14-20-CRC-field-hospital.aspx Not scrapped Scraping from https://www.lowellma.gov/DocumentCenter/View/11403/PRESS-RELEASE-City-of-Lowell-Opens-Emergency-Shelter_413?bidId= A PDF HERE Scraping from https://www.lowellma.gov/DocumentCenter/View/11401/April-9_City-of-Lowell-Coronavirus-Report?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11365 A PDF HERE Scraping from https://youtu.be/RsCQYzPLAiY Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/11348/APRIL-2-Coronavirus-Data-Report?bidId&fbclid=IwAR20SmhdlIjwQXB8jN_UW133Hp-YOo4VErXff0yu8dgzmp6qvII8WNm6rD0 A PDF HERE Scraping from https://www.youtube.com/watch?v=hDKGdVHLW-Q&t=5s Not scrapped Scraping from https://www.lowellma.gov/DocumentCenter/View/11154/PRESS-RELEASE-Confirmed-Cases-Increased-to-10_32420?bidId= A PDF HERE Scraping from https://www.lowellma.gov/DocumentCenter/View/11109/PRESS-RELEASE-Third-Lowell-Resident-Tests-Positive-for-Coronavirus_32320?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11105/PRESS-RELEASE-City-of-Lowell-to-Reduce-On-Site-Staff_32020?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11050/PRESS-RELEASE-City-of-Lowell-Activates-Emergency-Operation-Center_31720?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11025/PRESS-RELEASE-Lowell-Residents-Tests-Positive-for-Coronavirus_31620?bidId= A PDF HERE Scraping from https://www.lowellgeneral.org/news-and-media/news/lowell-general-hospital-sets-up-mobile-tent-as-part-of-covid-19-response-planning Not scrapped Scraping from https://www.lowell.k12.ma.us/cms/lib/MA01907636/Centricity/Domain/2728/LPSD%20COVID-19%20Closing%20Notice%203-13-20.pdf A PDF HERE Scraping from https://www.lowellma.gov/DocumentCenter/View/11022/PRESS-RELEASE-Lowell-City-Hall-and-All-City-Buildings-to-Close-to-Public_31320?bidId= A PDF HERE Scraping from https://www.lowellma.gov/DocumentCenter/View/10979/City-of-Lowell_Coronavirus-Update-310?bidId= A PDF HERE Scraping from https://www.lowellma.gov/DocumentCenter/View/10919/Coronavirus-Lowell_Prevention-Message-d3-002?bidId&fbclid=IwAR3DZ1io8VEw1tC3ro7UNnF3xXy3ZMxfnhDS9-4ov41WP0p_X41IJ5Lz8_0 A PDF HERE Scraping from https://public.coderedweb.com/CNE/en-US/BF210E7D2F2C Not scrapped Scraping from http://lowellma.gov/1439/Resources Not scrapped Scraping from http://lowellma.gov/DocumentCenter/View/12827 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12827 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12737 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12737 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12690/July-31?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12690/July-31?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12647 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12647 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12465 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12465 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12396 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12396 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12351/July-2?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12351/July-2?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12332 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12332 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12243 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12243 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12174 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12174 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12134/June-5-Coronavirus-Data-Report?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12134/June-5-Coronavirus-Data-Report?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12033/May-29?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12033/May-29?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11956/May-22-Coronavirus-Data-Report?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11956/May-22-Coronavirus-Data-Report?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11827/May-15-Report?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11827/May-15-Report?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11751 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11751 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11657/May-1-Coronavirus-Data-Report_City-of-Lowell?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11657/May-1-Coronavirus-Data-Report_City-of-Lowell?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11598/April-27-City-of-Lowell-Data-Report?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11598/April-27-City-of-Lowell-Data-Report?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11514/April-16_City-of-Lowell_Coronaviurs-Data-Report?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11514/April-16_City-of-Lowell_Coronaviurs-Data-Report?bidId= A PDF HERE Scraping from https://www.lowellma.gov/DocumentCenter/View/11401/April-9_City-of-Lowell-Coronavirus-Report?bidId= A PDF HERE Scraping from https://www.lowellma.gov/DocumentCenter/View/11401/April-9_City-of-Lowell-Coronavirus-Report?bidId= A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11348/APRIL-2-Coronavirus-Data-Report?bidId&fbclid=IwAR20SmhdlIjwQXB8jN_UW133Hp-YOo4VErXff0yu8dgzmp6qvII8WNm6rD0 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/11348/APRIL-2-Coronavirus-Data-Report?bidId&fbclid=IwAR20SmhdlIjwQXB8jN_UW133Hp-YOo4VErXff0yu8dgzmp6qvII8WNm6rD0 A PDF HERE Scraping from http://lowellma.gov/DocumentCenter/View/12737 A PDF HERE Scraping from https://www.cdc.gov/coronavirus/2019-ncov/about/transmission.html Not scrapped Scraping from https://www.cdc.gov/coronavirus/2019-ncov/about/symptoms.html Not scrapped Scraping from https://www.cdc.gov/coronavirus/2019-ncov/about/prevention.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fabout%2Fprevention-treatment.html Not scrapped Scraping from https://www.cdc.gov/coronavirus/2019-ncov/about/steps-when-sick.html Not scrapped Scraping from https://www.cdc.gov/coronavirus/2019-ncov/faq.html Not scrapped Scraping from https://www.cdc.gov/coronavirus/2019-ncov/about/share-facts-h.pdf A PDF HERE Scraping from https://www.mass.gov/resource/information-on-the-outbreak-of-coronavirus-disease-2019-covid-19 Not scrapped Scraping from https://www.mass.gov/news/governor-baker-declares-state-of-emergency-to-support-commonwealths-response-to-coronavirus Not scrapped",lowell,Massachusetts,Yes
467,read more 6/30/2020 Friendly reminder to wear your mask correctly!,polk,Iowa,Yes
472,"Scraping from http://www.saginawpublichealth.org/coronavirus/ Scraping from http://www.saginawpublichealth.org/coronavirus/additional-resources/ For the most updated statewide information, please go to the MDHHS Coronavirus Disease 2019 web page here .You can register for the Saginaw County Emergency Notification system by signing up here .If you are looking for resources in our community, please try contacting 2-1-1 OR reference the Saginaw County Community Resource Guide here .Please see the following printable fact sheets for additional information and resources:The 3 Ws: Your Best Defense Against COVID-19Graduation & Summer Parties Guidance for Day Camps COVID-19: Reduce Your Risk Protect Yourself and Others English // Spanish English // SpanishSymptoms of COVID-19 COVID-19 Symptom Check List English // Spanish English // SpanishWhat to do if you are Sick Quarantine vs Isolation English // Spanish English // SpanishWhat Can You Do - High Risk Stop the Spread of Germs English // Spanish English // SpanishFacts About COVID-19 COVID-19 and You English // Spanish English // Spanish Testing Process Antibody Testing English // Spanish English // Spanish I Think I've Been Exposed COVID-19 and Pregnancy English // Spanish English // Spanish Priorities for Testing Testing Does Not Change Treatment English // Spanish English // Spanish Use of Cloth Face Coverings Shopping and Handling Groceries English // Spanish English // Spanish HomeCoronavirusAdditional Resources Saginaw ISD Support Resources Michigan Alliance for Families FEMA-Reimbursement Frequently Asked Questions SCHD Emergency Orders Emergency Management Resource Documents COVID-19 Cases in Saginaw County COVID-19 Testing COVID-19 Contact Tracing Information for Healthcare Providers Information for Schools and Childcare Facilities Information for Community Organizations Information for Seniors and High Risk Individuals Information for Businesses and Employers Additional Resources Informational Coronavirus Videos Mental Health Resources Scraping from http://www.saginawpublichealth.org/coronavirus/mental-health-resources/ This is a difficult time for everyone.",saginaw,Michigan,Yes
478,"HomeCoronavirusFrequently Asked QuestionsFeverCoughShortness of breathBetween people who are in close contact (within about six feet) of an ill personThrough respiratory droplets produced when an infected person coughs or sneezesIt also may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it, then touching their mouth, nose, or eyesWash your hands frequently with soap and water for at least 20 secondsAvoid touching your eyes, nose, and mouth with unwashed handsCover your mouth and nose with a tissue or upper sleeve when coughing or sneezingAvoid contact with people who are sickStay home if you are sick and contact your healthcare provider Scraping from http://www.saginawpublichealth.org/coronavirus/information-for-schools-and-childcare-facilities/ The MI Safe Start Roadmap contains recommendations and guidelines outlined for schools to follow as they plan on returning to the classroom this fall including guidance on wearing masks, hygiene and cleaning protocols, athletics, and more.",saginaw,Michigan,Yes
490,https://www.cdc.gov/coronavirus/2019-ncov/downloads/ case-investigation-contact-tracing.pdf .PERSONAL PROTECTIVE EQUIPMENT REQUIRED Phase 4 Phase 5 Phase 6 Facial coverings must always be worn by staff except for meals .,saginaw,Michigan,Yes
493,"Wash your hands Wear a mask (or face shield) Watch your distance 7.31.201600 N. Michigan Avaginawww.saginawpublichealth.org 3.11.20COVID-19 I think I have been exposed to COVID-19, what should I do?",saginaw,Michigan,Yes
525,"small gloves on one line, large on the next) Email address: Email completed form to: Emgmgr@saginawcounty.com Quantity Item description Size Intended use of item SAGINAW COUNTY DONATION REPORTING FORM PUBLIC HEALTH EMERGENCY ORDER SCHD2020 - 0 1 IN RESPONSE TO THE COVID - 19 PANDEMIC REQUIRED REPORTING OF PERSONAL PROTECTIVE EQUIPMENT AND MEDICAL SUPPLIES DONATED TO PUBLIC AND NON - PROFIT AGENCIES IN SAGINAW COUNTY This Order is made pursuant to Section 2453 of the Public Health Code, being MCL 333.2453.",saginaw,Michigan,Yes
535,"ŁIncreases risk of disease spread ŁNot all seating on the bus allows for 6 feet of distance ŁEveryone on bus wears mask Scenario 5: BusALL CHILDREN AND BUS DRIVER GO ON QUARANTINE FOR 14 DAYS ŁNo Assigned Seating ŁNo Clustering of Families Scenario 6*: Bus*Ideal Scenario CLOSE CONTACTS (< 6 FEET FOR AT LEAST 15 MINS) HOME ON QUARANTINE FOR 14 DAYS ŁAssigned Seating ŁChild Remains in Seat ŁWindows Open ŁSeat Logs Kept Scenario: SYMPTOMATIC Staff or Child Consider Testing Symptoms to Send Home: ŁAt least 2 of the following fever (measure or subjective), chills, rigors (shivers), myalgia (muscle aches), headache, sore throat, nausea or vomiting, diarrhea, fatigue, congestion or runny nose ;OR ŁAt least 1 of the following: cough, shortness of breath, difficulty breathing, new olfactory disorder, new taste disorder.",saginaw,Michigan,Yes
536,"Isolation Room Recommendations ŁEach sick child should be isolated in a SEPARATE room ŁReduces risk of disease spread ŁChildren could have different diseases ŁFlu ŁCOVID -19 ŁCommon cold Staff and child must wear surgical mask Escort child to parent vehicle, do not allow parent into school ENVIRONMENTAL CONSIDERATIONS Cari Hillman, R.E.H.S.",saginaw,Michigan,Yes
541,ŁFollow the directions on the disinfectant label for additional PPE needs.,saginaw,Michigan,Yes
546,"ŁIf transport vehicles (e.g., buses) are used by the school, drivers should practice all safety actions and protocols as indicated for other staff (e.g., hand hygiene, cloth face coverings).",saginaw,Michigan,Yes
567,ŁFor more information on water systems you can contact our Environmental Health Division at eh@saginawcounty.com Toolkit Contents ŁPart A ŒNarrative description of SCHD guidance for schools ŁScreening for Students and Staff ŁFace Coverings ŁMinimizing Risk ŁContract Tracing ŁCleaning and Disinfection Will be available early NEXT WEEK Screening ŁAll staff need to be screened upon building entry ŁRecommended family pre -screen prior to school ŁHave a plan to screen students if necessary ŁUse existing outreach systems to provide REMINDERS for staff and students on pre -screening Part B is designed to provide documents and resources for schools.,saginaw,Michigan,Yes
576,"OPTION ACALL PROVIDERHOTLINEOPTION BCONTACT LOCAL HEALTH DEPARTMENTIf no symptomsdevelop duringmonitoring period,DISCONTINUEMONITORINGIndividual contacts orpresents at healthcare provider.Health care providerobtains MDSSInvestigation IDOrder test fromcommercial or hospitallaboratoryYESSubmitter (health careprovider) receives resultsSubmitterprovides resultto patientYESPOSITIVE RESULTSprovided to localhealth departmentOR*Testing process for general public, does notspeci˜cally apply to health care workers.Doctor determines patientdoes not need testing.Refer to health careprovider to discusssymptoms.Screening at health care provider.Doctor determines patientmeets prioritizationcriteria.NOSEOC TA 2594043 03/25/2020COVID-19coronavirus4.7.20 USE OF CLOTH FACE COVERINGS TO HELP SLOW THE SPREAD OF C OVID ˜19 1600 N. Michigan Avaginawww.saginawpublichealth.org How to Wear Cloth Face Coverings: Cloth face coverings shouldŠ ˜t snugly but comfortably against the side of the face be secured with ties or ear loops include multiple layers of fabric and/or use a co˚ee ˜lter as an inner layer allow for breathing without restriction be able to be laundered and machine dried without damage or change to shape be routinely washed depending on the frequency of use be removed carefully without touching eyes, nose or mouth, and hands should be washing immediately after removing Homemade Cloth Face Coverings: The CDC is now recommending homemade cloth face coverings in public settings where other social distancing measures are di˛cult to maintain (e.g., grocery stores and pharmacies), especially in areas of signi˜cant community-based transmission.",saginaw,Michigan,Yes
588,"Michigan Chamber of Commerce has compiled a list of companies that source, manufacture or distribute PPE equipment.Reopening Guidance for Cleaning and Disinfecting Public Spaces, Workplaces, Businesses, Schools, and HomesMI Safe StartCleaning and Disinfection after COVID-19 ExposureYou can learn more about your employment rights on the Michigan Attorney General website.US Department of Labor Families First Coronavirus Response Act (FFCRA) : Employee Paid Leave Rights FFCRA FAQ FFCRA Employer Paid Leave Requirements Employee Paid Leave RightsFFCRA FAQFFCRA Employer Paid Leave Requirements Scraping from https://www.washtenaw.org/3095/COVID-19 Service updates: At the Health Department, we continue to focus much of our attention on COVID-19.",washtenaw,Michigan,Yes
616,"Michigan Chamber of Commerce has compiled a list of companies that source, manufacture or distribute PPE equipment.Reopening Guidance for Cleaning and Disinfecting Public Spaces, Workplaces, Businesses, Schools, and HomesMI Safe StartCleaning and Disinfection after COVID-19 ExposureYou can learn more about your employment rights on the Michigan Attorney General website.US Department of Labor Families First Coronavirus Response Act (FFCRA) : Employee Paid Leave Rights FFCRA FAQ FFCRA Employer Paid Leave Requirements Employee Paid Leave RightsFFCRA FAQFFCRA Employer Paid Leave Requirements COVID FAQs for Businesses Health Department 555 Towner Street Ypsilanti, MI 48198 Phone: 734-544-6700 Email Environmental Health 705 N Zeeb Road Ann Arbor, MI 48103 Phone: 734-222-3800 Email Dental Clinic 111 N Huron Street Ypsilanti, MI 48197 Phone: 734-480-4250 Register: 877-313-6232 About the Health Department Applications, Forms & Fees Hours & Locations Jobs & Internships Home Site Map County Directory Accessibility Copyright Notices Privacy Policy HomeMy AccountPrinter FriendlyEmail PageContact UsRSSSite MapTranslate PageNotificationsDocumentsFacebookTwitterPinterestDeliciousBloggerLinkedIn Scraping from https://www.washtenaw.org/3101 Create an Account - Increase your productivity, customize your experience, and engage in information you care about.",washtenaw,Michigan,Yes
629,"Michigan Chamber of Commerce has compiled a list of companies that source, manufacture or distribute PPE equipment.Reopening Guidance for Cleaning and Disinfecting Public Spaces, Workplaces, Businesses, Schools, and HomesMI Safe StartCleaning and Disinfection after COVID-19 ExposureYou can learn more about your employment rights on the Michigan Attorney General website.US Department of Labor Families First Coronavirus Response Act (FFCRA) : Employee Paid Leave Rights FFCRA FAQ FFCRA Employer Paid Leave Requirements Employee Paid Leave RightsFFCRA FAQFFCRA Employer Paid Leave Requirements COVID FAQs for Businesses Health Department 555 Towner Street Ypsilanti, MI 48198 Phone: 734-544-6700 Email Environmental Health 705 N Zeeb Road Ann Arbor, MI 48103 Phone: 734-222-3800 Email Dental Clinic 111 N Huron Street Ypsilanti, MI 48197 Phone: 734-480-4250 Register: 877-313-6232 About the Health Department Applications, Forms & Fees Hours & Locations Jobs & Internships Home Site Map County Directory Accessibility Copyright Notices Privacy Policy HomeMy AccountPrinter FriendlyEmail PageContact UsRSSSite MapTranslate PageNotificationsDocumentsFacebookTwitterPinterestDeliciousBloggerLinkedIn Scraping from https://www.washtenaw.org/1789/14-Dioxane Create an Account - Increase your productivity, customize your experience, and engage in information you care about.",washtenaw,Michigan,Yes
719,"These individuals shall not be compelled to go to work throughout this emergency.Provide to the greatest extent possible flexible or remote scheduling for employees who may have child to elder care obligations, or who live with a person who still needs to observe Stay at HomeEncourage and enable remove work whenever possibleEncourage breaks to wash hands or use hand sanitizerPhase shift and breaks to reduce densityThose who are over age 65Those who have chronic lung disease or moderate to severe asthmaThose who have serious heart conditionsThose who are immunocompromisedThose who are pregnantThose who are determined to be at high risk by a licensed healthcare providerAcupuncture (not related to personal services)Athletic training (not related to personal services)Audiology servicesServices by hearing aid providersChiropractic careMassage therapy (not related to personal services)Med spas and medical cosmetic servicesNaturopathic careOccupational therapy servicesPhysical therapySpeech language pathology servicesMust have adequate PPE in order to sustain recommended PPE use for its workforce for 2 weeks without the need for emergency PPE-conserving measures.",larimer,Colorado,Yes
