category,diff_line,county,state
,"Media Contact:   Melissa Morin, Communications Specialist Phone:     (360) 778-6022; (360) 594-2504 E-mail address:    mmorin@whatcomcounty.us",whatcom,Washington
,Immediate COVID-19 Risk Remains Low; Now Is the Time to Plan and Prepare,whatcom,Washington
,"BELLINGHAM, WA - There continue to be no cases of 2019 novel coronavirus (COVID-19) in Whatcom County, and the risk of exposure to COVID-19 in Whatcom County remains low at this time.",whatcom,Washington
,"However, it is very likely that novel coronavirus will spread in parts of the United States, including Washington state, so the Whatcom County Health Department (WCHD) is urging community members to be informed and prepared.",whatcom,Washington
,"If COVID-19 spreads in Washington State, it could cause disruptions to daily life because during severe disease outbreaks, public health officials may recommend community actions to limit the disease from spreading further.",whatcom,Washington
,"Exactly which actions are taken depends on how severe the outbreak is, and it is not yet known if any of these actions will be necessary for the COVID-19 outbreak.",whatcom,Washington
,"Some of the typical recommendations made by public health officials are:   Closing non-essential workplaces or encouraging people to work from home –Workplaces can be spots where disease can spread more easily between people, and temporarily closing workplaces or limiting work hours can help slow down the spread of disease.",whatcom,Washington
,Some employers might have agreements that allow employees to work from home.,whatcom,Washington
,All employers should be ready to implement strategies to protect their workforce from COVID-19 while ensuring continuity of operations.,whatcom,Washington
,  Closing schools or childcare facilities – It’s not yet known if temporary school closures will be recommended for COVID-19.,whatcom,Washington
,"Schools and childcares are places where many people are in close contact for long periods, making them places with higher risk for spreading infectious diseases.",whatcom,Washington
,"In a serious pandemic, schools and childcare facilities can be temporarily closed.",whatcom,Washington
,School officials may also cancel school if too many students or staff are sick or absent.,whatcom,Washington
,"  Limiting or closing community gathering places or canceling public events – In severe pandemics, it can be necessary to cancel public events or close places like theaters or other places where a large number of people gather together.",whatcom,Washington
,"These “social distancing” actions, or non-pharmaceutical interventions, help decrease the number of people who get sick, lightening the load on the healthcare system, and help slow the spread of the disease in the community.",whatcom,Washington
,"509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health WHATCOM COUNTY   Regina A. Delahunt, Director Health Department  Greg Stern, M.D., Health Officer",whatcom,Washington
,Community members can take steps now to prepare for how these actions could impact their lives.,whatcom,Washington
,"  Prevention starts with good personal health habits: stay home when you are sick, cover your cough or sneeze with a tissue, wash your hands frequently with soap and water, and clean frequently-touched surfaces and objects.",whatcom,Washington
,  Plan for how you will care for kids or other loved ones at home.,whatcom,Washington
,Talk about how you’ll arrange childcare if schools or childcare facilities are closed.,whatcom,Washington
,"When schools are closed, children should also avoid gathering together.",whatcom,Washington
,  Discuss sick leave policies and telework options with your employer.,whatcom,Washington
,"If you need to stay home to care for kids or other loved ones, you may be able to work remotely.",whatcom,Washington
,  Be ready to help neighbors and elders in your community.,whatcom,Washington
,"Plan for ways that you can help take care of people who are at greater risk for serious illness, like people with chronic health conditions or people over 65.",whatcom,Washington
,"Talk with your neighbors, and plan for ways you can help take care of one another, like dropping off groceries on their doorstep or taking turns with childcare.",whatcom,Washington
,"  Stay informed by and share reliable sources of information, such as the Centers for Disease Control & Prevention and the Washington State Department of Health (DOH).",whatcom,Washington
,"As we continue to learn about COVID-19, the health department reminds everyone that the risk of COVID-19 is not at all connected with race, ethnicity, or nationality.",whatcom,Washington
,"Allowing misinformation to spread, stigma to thrive, or otherwise ostracizing community members is counter-productive to improving public health and safety.",whatcom,Washington
,"Stigma is not going to fight this outbreak, but together, we can.",whatcom,Washington
,"Individuals can support our community’s response by:   Not making assumptions about someone’s health status based on their ethnicity, race or national origin.",whatcom,Washington
,Viruses don’t discriminate and neither should we.,whatcom,Washington
,"  Speaking up if you hear, see, or read stigmatizing or harassing comments or misinformation.",whatcom,Washington
,"  Reminding others that it is normal to be concerned when there is an outbreak, but that the risk of novel coronavirus to the public is very low.",whatcom,Washington
,For more information on novel coronavirus This is an emerging outbreak with rapidly evolving information.,whatcom,Washington
,Updates will be made as new information emerges on the DOH website and Whatcom County Health Department’s website.,whatcom,Washington
,Questions from the public can also be directed to covid@co.whatcom.wa.us.,whatcom,Washington
,The Washington State Department of Health has established a call center to address questions from the public.,whatcom,Washington
,If you have questions about novel coronavirus please call 1-800-525-0127 and press #.,whatcom,Washington
,"509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health",whatcom,Washington
,"WHATCOM COUNTY   Kathleen Roy, Assistant Director Health Department  Greg Stern, M.D., Health Officer",whatcom,Washington
,"FOR IMMEDIATE RELEASE March 10, 2020                    Media Contact:        Melissa Morin, Communications Specialist Phone:                      (360) 778-6022; (360) 594-2504 E-mail address:       health-pio@whatcomcounty.us; mmorin@whatcomcounty.us                                                Declaration of Emergency and New Recommendations to the Public",whatcom,Washington
,"BELLINGHAM, WA - Today, Satpal Sidhu, the Whatcom County Executive, in coordination with the Whatcom County Health Board, declared a Whatcom County public health emergency to reduce the spread of novel coronavirus (COVID-19) in our community.",whatcom,Washington
,"In response to the rapidly evolving situation in Whatcom County, Dr. Greg Stern, Whatcom County Health Officer, has also issued new recommendations to slow the spread of the novel coronavirus COVID-19.",whatcom,Washington
,Declaring an emergency facilitates coordination with local and statewide partners and is a reflection of our continued commitment to ensure a comprehensive Whatcom County response to this outbreak.,whatcom,Washington
,“This declaration is a step up and a step forward in our preparation to meet the challenges presented by COVID-19.,whatcom,Washington
,"It elevates the level of readiness of our public health infrastructure,” said County Executive Satpal Sidhu.",whatcom,Washington
,"“Our message to the public is simple: plan and prepare, but don’t panic.",whatcom,Washington
,"By following the advice of experts, you can help protect your family, friends, co-workers and our community at large.”",whatcom,Washington
,New Recommendations for Community-Wide Action The new recommendations announced today are based on the increasing risk of spread of the disease in our area and are aligned with similar recommendations from other local health departments in our region.,whatcom,Washington
,"These are proactive steps we can all take to protect ourselves, our families and our community.",whatcom,Washington
,"“We know that this is a difficult time for our community and these recommendations will significantly impact our daily lives,” said Dr. Stern.",whatcom,Washington
,"“The decision to make these recommendations was made based on the best public health science, which tells us that these actions are needed to reduce further transmission of disease in our area.”",whatcom,Washington
,The Whatcom County Health Department is now making the following recommendations:,whatcom,Washington
,"  People at higher risk of severe illness should stay home and away from large groups of people as much as possible, including public places with lots of people and large gatherings where there will be close contact with others.",whatcom,Washington
,"This includes concert venues, conventions, sporting events, and crowded social gatherings.",whatcom,Washington
,People at higher risk include people: o  Over 60 years of age.,whatcom,Washington
,"o  With underlying health conditions including heart disease, lung disease, or diabetes.",whatcom,Washington
,o  With weakened immune systems.,whatcom,Washington
,o  Who are pregnant.,whatcom,Washington
,"509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health WHATCOM COUNTY   Kathleen Roy, Assistant Director Health Department  Greg Stern, M.D., Health Officer",whatcom,Washington
,  The community should cancel or postpone non-essential large public gatherings.,whatcom,Washington
,"If you can feasibly avoid bringing large groups of people together, we recommend postponing or canceling events and gatherings.",whatcom,Washington
,We are loosely defining large gatherings as 10-50 people or more.,whatcom,Washington
,  Workplaces and businesses are encouraged to provide options for their employees to work from home if possible.,whatcom,Washington
,"If they cannot work from home, employees should minimize their interaction with large groups of people.",whatcom,Washington
,"  We are not recommending school closures at this time, but school districts may make the decision to close schools.",whatcom,Washington
,We support them with information and guidance.,whatcom,Washington
,"o  While we are not recommending targeted or widespread closures at that time, individual districts make the decision to close schools as the situation evolves.",whatcom,Washington
,o  Closures can be effective in reducing the spread of disease.,whatcom,Washington
,"However, how effective a closure will be needs to be weighed against the impacts it causes.",whatcom,Washington
,"School closures or dismissals have wide-reaching impacts in the community, and we understand that decisions to close schools must be weighed carefully.",whatcom,Washington
,Whatcom County is asking that everyone in our community do their part to help reduce the spread of COVID-19.,whatcom,Washington
,Actions you can take include:,whatcom,Washington
,  Stay home when you are sick.,whatcom,Washington
,"o  If you have symptoms of a respiratory illness and must go out in public, wear a mask.",whatcom,Washington
,"People who are sick with respiratory symptoms, like a cough or sneezing, should wear a mask in public places to prevent the spread of illnesses to others in the area.",whatcom,Washington
,  Do not go to emergency rooms or urgent care clinics if your illness is mild and can be managed at home.,whatcom,Washington
,These facilities need to have the ability to serve those who are in most critical need.,whatcom,Washington
,We also want to limit unnecessary visits to protect health care providers and other patients from catching infections.,whatcom,Washington
,"  Even if you are feeling well, avoid visiting hospitals, long-term care facilities or nursing homes.",whatcom,Washington
,"If it is necessary to visit someone there, check on the facility’s rules for visitors before showing up, limit your time there, and stay at least 6 feet away from patients at all times.",whatcom,Washington
,"  People who are sick with cough and fever should not attend work until 72 hours after fever has resolved or seven (7) days after the illness began, whichever is longer.",whatcom,Washington
,We urge employers to maximize flexibility in sick leave benefits to accommodate these measures.,whatcom,Washington
,Additional details will be available on the Whatcom County Health Department’s website at https://www.whatcomcounty.us/covid.,whatcom,Washington
,"### 509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health",whatcom,Washington
,"WHATCOM COUNTY   Kathleen Roy, Assistant Director Health Department  Greg Stern, M.D., Health Officer FOR IMMEDIATE RELEASE March 15, 2020                 Media Contact:        Melissa Morin, Communications Specialist Phone:                      (360) 594-2504 E-mail address:       health-pio@co.whatcom.wa.us; mmorin@co.whatcom.wa.us  Whatcom County Health Department Identifies Third Case of COVID-19 BELLINGHAM, WA –The Whatcom County Health Department has identified a third confirmed case of 2019 novel coronavirus (COVID-19) in Whatcom County.",whatcom,Washington
,The case is a woman in her 20s.,whatcom,Washington
,Disease investigators from the Whatcom County Health Department are currently investigating this case further.,whatcom,Washington
,Health department officials are working to identify and advise those people who have had close contact with the confirmed case.,whatcom,Washington
,This includes:   Talking with the confirmed case about where they were during their infectious period and who they may have had contact with for more than 10 minutes in a space of less than 6 feet.,whatcom,Washington
,"  Reaching out directly to close contacts of the confirmed case to let them know of their potential exposure to a person with COVID-19, advising them about steps to prevent infecting others, and explaining what they should do to take care of themselves.",whatcom,Washington
,"In their follow-up with close contacts, disease investigators determine if close contacts have any symptoms of COVID-19 and instruct them on precautions to take to avoid spreading illness.",whatcom,Washington
,"  If a close contact has symptoms of COVID-19, they are instructed to isolate themselves at home for at least 7 days or 72 hours (3 days) after fever and other symptoms resolve, whichever is longer.",whatcom,Washington
,"  If they do not have symptoms of COVID-19, they are told to monitor their health for fever, cough and shortness of breath during the 14 days after the last day they were in close contact with the sick person with COVID-19.",whatcom,Washington
,"They are instructed to not go to work or school, and to avoid public places for 14 days.",whatcom,Washington
,"If during the investigation the Whatcom County Health Department identifies a public place where members of the public could have been exposed, public health officials notify the public of the location and time of the potential exposure.",whatcom,Washington
,"“Investigating where and how people could have been exposed to a confirmed case of COVID-19 is an important part of our strategy in managing this outbreak,” said Dr. Greg Stern.",whatcom,Washington
,“We investigate where and how people could have been exposed to confirmed cases in order to break the chain of transmission.,whatcom,Washington
,"However, COVID-19 is here in our community, and everything individuals and organizations do to prevent spread of the virus that causes COVID-19 will help.” (more…)",whatcom,Washington
,"509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health WHATCOM COUNTY   Kathleen Roy, Assistant Director Health Department  Greg Stern, M.D., Health Officer For more information on novel coronavirus This is an emerging outbreak with rapidly evolving information.",whatcom,Washington
,Updates will be made as new information is available on the DOH website and Whatcom County Health Department’s website.,whatcom,Washington
,"These websites include information for individuals, community organizations, schools and childcare facilities.",whatcom,Washington
,Websites are being updated as new information becomes available.,whatcom,Washington
,Questions for WCHD can also be emailed to covid@co.whatcom.wa.us  ###,whatcom,Washington
,"509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health",whatcom,Washington
,"NOTE: this version corrects the lab name, which was inaccurate in the original version.",whatcom,Washington
,Northwest Labs is accurate.,whatcom,Washington
,"FOR IMMEDIATE RELEASE  April 3, 2020   Media Contact:  Claudia Murphy, WUC Public Information Officer  Phone: (360) 815-2701   E-mail address:  WUC_JIC@co.whatcom.wa.us",whatcom,Washington
,Rapid Testing for High Priority Populations now available from Whatcom County Health Department,whatcom,Washington
,"BELLINGHAM, WA - Whatcom County Health Department (WCHD) is now operating a  drive-through COVID-19 testing site for high priority populations in a partnership with Northwest Labs.",whatcom,Washington
,WCHD’s rapid testing team is responding to high priority testing needs with on-site testing at congregate living facilities for high-risk adults.,whatcom,Washington
,"“By creating these opportunities for priority population testing, the Health Department aims to free up capacity at other medical provider or clinical agency testing locations for the public,” said Cindy Hollinsworth, Communicable Disease and Epidemiology manager at WCHD.",whatcom,Washington
,Testing at the WCHD drive-through site is only available by referral from a healthcare provider once the provider has determined an individual should be tested.,whatcom,Washington
,Healthcare providers must order the tests from the WCHD directly; patients cannot request testing themselves.,whatcom,Washington
,"High priority populations for testing by WCHD include people with symptoms of COVID-19 who: •  work in healthcare or public safety sectors; •  live or work in an institutional or congregate living setting; •  are employed in essential services, such as grocery stores, pharmacies, public utilities, etc.",whatcom,Washington
,"; and, •  are at risk for severe illness (people over 60, people with underlying health conditions, and people who are pregnant).",whatcom,Washington
,Results from specimens collected through the WCHD drive-through site and rapid on-site response are anticipated to be provided within 24 hours of shipment to the lab.,whatcom,Washington
,"Whatcom County Health Department has worked diligently to support this increased testing capacity, and will continue to explore avenues for increased testing.",whatcom,Washington
,Photo by John Meloy ###,whatcom,Washington
,"WHATCOM COUNTY      Erika Lautenbach, Director",whatcom,Washington
,"Health Department  Greg Stern, M.D., Health Officer",whatcom,Washington
,"FOR IMMEDIATE RELEASE May 29, 2020",whatcom,Washington
,"Media Contact:   Claudia Murphy, Whatcom Unified Command PIO  Phone:     (360) 815-2701 E-mail address:   WUC_JIC@co.whatcom.wa.us",whatcom,Washington
,"Confirmed COVID-19 Case aboard Fishing Vessel in Whatcom County, MAY 29",whatcom,Washington
,"BELLINGHAM, WA – On Thursday, May 28, 2020, a fishing vessel from American Seafoods docked in Bellingham.",whatcom,Washington
,"An ill crew member was transported to PeaceHealth St. Joseph Medical Center in Bellingham, tested positive for COVID-19, and was admitted to the hospital today for further treatment.",whatcom,Washington
,The crew member reported symptoms as the vessel came into Bellingham on Thursday evening.,whatcom,Washington
,The crew member was transported to the Peace Health this morning.,whatcom,Washington
,American Seafoods is proactively taking other crew members who were close contacts to a quarantine facility in King County and retesting them.,whatcom,Washington
,"According to American Seafoods, the company has a response plan in the event of COVID-19 and it was activated.",whatcom,Washington
,"The company’s plan includes testing all crew members on board, as well as agreements with an isolation and quarantine facility in King County.",whatcom,Washington
,American Seafoods is working closely with the Whatcom County Health Department to develop additional strategies to mitigate and prevent further spread of the disease.,whatcom,Washington
,"“While it’s concerning to see positive COVID cases in a communal setting like this, the company has a planned response and is proactively working to test and protect other crew members,” said Erika Lautenbach, Whatcom County Health Department Director.",whatcom,Washington
,"“The sick crew member is receiving great care at PeaceHealth and the Health Department is working with the company and our public health and healthcare partners to quickly and comprehensively address this outbreak.” The U.S. Coast Guard, U.S. Centers for Disease Control and the Port of Bellingham have all been notified and are engaged.",whatcom,Washington
,"As this is a current and rapidly evolving situation, there will be no further information available this evening.",whatcom,Washington
,Whatcom County Unified Command or the Whatcom County Health Department will provide updates as more information is available.,whatcom,Washington
,###,whatcom,Washington
,"Bellingham,5 W09A G 9ir8a2r2d5 S-4tr0e0e5t    1500 North State Street       Bellingham, WA 98225-4551  360.778.6000 | FAX 360.778.6001  360.778.6100 | FAX 360.778.6101  WhatcomCountyHealth  www.whatcomcounty.us/healthWhatcomCoHealth",whatcom,Washington
,"WHATCOM COUNTY   Regina A. Delahunt, Director Health Department  Greg Stern, M.D., Health Officer FOR IMMEDIATE RELEASE March 2, 2020",whatcom,Washington
,"Media Contact:   Melissa Morin, Communications Specialist Phone:     (360) 778-6022; (360) 594-2504 E-mail address:    mmorin@whatcomcounty.us",whatcom,Washington
,"WCHD RECOMMENDING PERSONAL PREVENTION, NOT CLOSURES",whatcom,Washington
,"BELLINGHAM, WA - The Whatcom County Health Department (WCHD) is reminding Whatcom residents to take steps to protect their health and prevent the spread of COVID-19 and other respiratory infections.",whatcom,Washington
,"At this time, WCHD is not recommending other community-based strategies for infection control, such as school closures or canceling large public gatherings or events.",whatcom,Washington
,No cases of COVID-19 have been confirmed in Whatcom County as of Monday afternoon.,whatcom,Washington
,"“We understand that people are concerned about the spread of COVID-19 in our region, and it’s likely that we will see more cases of COVID-19 in the days and weeks to come,” said Dr. Greg Stern, Whatcom County Health Officer.",whatcom,Washington
,“We are urging community members to practice personal prevention steps such as washing hands frequently and staying home when sick.,whatcom,Washington
,"These actions help to not only keep individuals healthy, but are also important to help slow the spread of disease through our community.”",whatcom,Washington
,PERSONAL PREVENTION STEPS: Everyone should take simple steps to prevent the spread of COVID-19 and other respiratory illnesses:   Wash your hands frequently.,whatcom,Washington
,  Avoid touching your face.,whatcom,Washington
,"  Cough and sneeze into a bent elbow or tissue, then throw away the tissue.",whatcom,Washington
,  Avoid close contact with people who are sick.,whatcom,Washington
,  Stay home when you or a family member is sick.,whatcom,Washington
,  Clean and disinfect frequently used objects and surfaces.,whatcom,Washington
,People with mild symptoms should stay home and rest.,whatcom,Washington
,People who are severely ill or at high risk for severe illness should stay home and call their health care provider.,whatcom,Washington
,"Public health officials do not recommend healthy people wear masks to prevent respiratory illnesses, including COVID-19.",whatcom,Washington
,People who are sick should wear masks when they are seeking medical care.,whatcom,Washington
,It is important that supplies of masks and other personal protective equipment remain available for health care providers who are evaluating and treating ill people.,whatcom,Washington
,"509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health PLANNING AHEAD COVID-19 is likely to continue to spread in Washington.",whatcom,Washington
,"Although school closures and other community-based actions to prevent transmission of COVID-19 are not currently recommended, community members can take steps now to prepare for the possible spread of COVID-19 locally by planning ahead for how to adjust work and home routines.",whatcom,Washington
,  Plan for how you will care for kids or other loved ones at home.,whatcom,Washington
,Talk about how you’ll arrange childcare if schools or childcare facilities are closed.,whatcom,Washington
,"When schools are closed, children should also avoid gathering together.",whatcom,Washington
,  Discuss sick leave policies and telework options with your employer.,whatcom,Washington
,"If you need to stay home to care for kids or other loved ones, you may be able to work remotely.",whatcom,Washington
,  Be ready to help neighbors and elders in your community.,whatcom,Washington
,"Plan for ways that you can help take care of people who are at greater risk for serious illness, like people with chronic health conditions or people over 65.",whatcom,Washington
,"Talk with your neighbors, and plan for ways you can help take care of one another, like dropping off groceries on their doorstep or taking turns with childcare.",whatcom,Washington
,For more information on novel coronavirus This is an emerging outbreak with rapidly evolving information.,whatcom,Washington
,Updates will be made as new information emerges on the DOH website and Whatcom County Health Department’s website.,whatcom,Washington
,The Washington State Department of Health has established a call center to address questions from the public.,whatcom,Washington
,"If you have questions about what is happening in Washington state, how the virus is spread, and what to do if you have symptoms, please call 1-800-525-0127 and press #.",whatcom,Washington
,You can also follow DOH & Whatcom County on social media.,whatcom,Washington
,"WHATCOM COUNTY    Kathleen Roy, Assistant Director Health Department Greg Stern, M.D., Health Officer",whatcom,Washington
,"Date:       March 13, 2020 Media Contact:        Whatcom County Health Department Public Information Officer Phone:                      (360) 393-2969 E-mail address:       health-pio@co.whatcom.wa.us                                                SECOND CASE OF COVID-19 CONFIRMED IN  WHATCOM COUNTY RESIDENT BELLINGHAM, WA – The Whatcom County Health Department (WCHD) is reporting a second lab confirmed case of the 2019 novel coronavirus, COVID-19, in a Whatcom County resident.",whatcom,Washington
,This case is a woman in her 40s who self-isolated after being notified that she was a close contact of a lab-confirmed positive case from another county.,whatcom,Washington
,"The Whatcom County Health Department is conducting a follow-up investigation, which includes talking with the individual about where she was during the infectious period and who she may have come in contact with.",whatcom,Washington
,The Health Department will directly communicate with individuals identified as a close contact of the person and provide direction on how to protect their health and that of the wider community.,whatcom,Washington
,Close contacts are defined as contacts who were with the individual for more than 10 minutes in a space of 6 feet or less.,whatcom,Washington
,"With an increasing number of cases in Washington State and the U.S., the risk to the general public is increasing.",whatcom,Washington
,"The risk to the local community is being assessed regularly and public health recommendations will be updated, as needed, based on the current risk.",whatcom,Washington
,For more information on novel coronavirus This is an emerging outbreak with rapidly evolving information.,whatcom,Washington
,Updates will be made as new information is available on the DOH website (https://www.doh.wa.gov/) and Whatcom County Health Department’s website (https://www.whatcomcounty.us/covid).,whatcom,Washington
,"These websites include information for individuals, community organizations, schools and childcare facilities.",whatcom,Washington
,Websites are being updated as new information becomes available.,whatcom,Washington
,Questions for WCHD can also be emailed to covid@co.whatcom.wa.us   The Washington State Department of Health has established a call center to address questions from the public.,whatcom,Washington
,"If you have questions about what is happening in Washington state, how the virus is spread, and what to do if you have symptoms, please call 1-800-525-0127 and press #.",whatcom,Washington
,###,whatcom,Washington
,"509 Girard Street Bellingham, WA 98225-4005  1500 North State Street     36 0.778.6W00h0a t|c FoAmXC 3o6u0n.7ty7H8.e6a0l0th1   B36e0lli.n77g8h.a6m10,0 W | AFA 9X8 232650-.4757581.6 101 WhatcomCoHealth  www.whatcomcounty.us/health",whatcom,Washington
,"WHATCOM COUNTY   Kathleen Roy, Assistant Director Health Department  Greg Stern, M.D., Health Officer FOR IMMEDIATE RELEASE March 17, 2020                 Media Contact:        Judy Ziels, Deputy Public Information Officer Phone:                      (360) 296-3506 E-mail address:       health-pio@co.whatcom.wa.us; jziels@co.whatcom.wa.us  Whatcom County Health Department Identifies Two New Cases of COVID-19 BELLINGHAM, WA –The Whatcom County Health Department has identified two new confirmed cases of 2019 novel coronavirus (COVID-19) in Whatcom County.",whatcom,Washington
,This brings the total number of confirmed cases in the county to five.,whatcom,Washington
,One new case is a male in his 40s.,whatcom,Washington
,The second new case is a male in his 60s who is currently hospitalized.,whatcom,Washington
,"The case investigation is currently ongoing, but it appears that at least one of the cases has no known contact from a confirmed case.",whatcom,Washington
,What you can do Personal prevention habits are effective for preventing COVID-19 infection.,whatcom,Washington
,We continue to repeat these important action steps everyone can take to protect themselves.,whatcom,Washington
,  Maintain a distance of six feet from others whenever possible.,whatcom,Washington
,  Wash your hands often with soap and water for at least 20 seconds.,whatcom,Washington
,"  Avoid touching your eyes, nose, or mouth with unwashed hands.",whatcom,Washington
,  Avoid close contact with people who are sick.,whatcom,Washington
,  Cover your mouth and nose with a tissue when you cough or sneeze.,whatcom,Washington
,Throw the tissue in the trash and wash your hands.,whatcom,Washington
,  Clean and disinfect objects and surfaces.,whatcom,Washington
,  Avoid gatherings of 10 or more people.,whatcom,Washington
,"If you are sick, stay home   If you are sick and have mild symptoms, stay home and take care of yourself as you would for a cold or flu.",whatcom,Washington
,"  If you have severe symptoms and need medical care, call your regular doctor first.",whatcom,Washington
,  Do not go to the emergency room.,whatcom,Washington
,Emergency rooms need to be able to serve those with the most critical needs.,whatcom,Washington
,  Your health care provider will determine if you need to be tested for COVID-19.,whatcom,Washington
,For more information on novel coronavirus This is an emerging outbreak with rapidly evolving information.,whatcom,Washington
,Updates will be made as new information is available on the Washington State Department of Health website and the Whatcom County Health Department website.,whatcom,Washington
,"These websites include information for individuals, community organizations, schools and childcare facilities.",whatcom,Washington
,Questions for WCHD can also be emailed to covid@co.whatcom.wa.us  ###,whatcom,Washington
,"509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health",whatcom,Washington
,"WHATCOM COUNTY   Kathleen Roy, Assistant Director Health Department  Greg Stern, M.D., Health Officer",whatcom,Washington
,"FOR IMMEDIATE RELEASE March 4, 2020                    Media Contact:        Melissa Morin, Communications Specialist Phone:                      (360) 778-6022; (360) 594-2504 E-mail address:       health-pio@whatcomcounty.us; mmorin@whatcomcounty.us                                                 Daily Updates on COVID-19 Surveillance on Whatcom County Health Department Website BELLINGHAM, WA - The Whatcom County Health Department (WCHD) is providing daily updates of its 2019 novel coronavirus (COVID-19) case information based on disease surveillance activities.",whatcom,Washington
,"Current and total numbers of persons under public health supervision, persons under investigation, and confirmed cases will be updated daily at https://whatcomcounty.us/ncov.",whatcom,Washington
,"No cases of COVID-19 have been confirmed in Whatcom County as of 1:30pm on Wednesday, March 4, 2020.",whatcom,Washington
,There are two (2) persons under public health supervision and three (3) persons under investigation.,whatcom,Washington
,We expect that results for COVID-19 tests sent to the Washington State Public Health Laboratory in Shoreline will take up to 48 hours to process once received and approved at the lab.,whatcom,Washington
,"The total number of persons under investigation does not currently include tests sent directly from healthcare providers to the University of Washington’s Virology Lab, which is also able to test for the virus that causes COVID-19.",whatcom,Washington
,The health department is notified about presumptive positive test results from either lab.,whatcom,Washington
,Testing for the virus that causes COVID-19 remains limited but is expanding.,whatcom,Washington
,Health care providers and public health professionals are basing their decision-making about testing on evaluation of symptoms and risk of exposure.,whatcom,Washington
,"At this time, samples sent to the Washington State Public Health Laboratory must meet the CDC’s guidelines, which are being updated as new information is rapidly becoming available.",whatcom,Washington
,Both the Washington State Public Health Laboratory and University of Washington currently have the capacity to test but it remains limited at this time.,whatcom,Washington
,The majority of people don’t need to be tested.,whatcom,Washington
,Most people with COVID-19 will have mild symptoms which will resolve without the need for testing or treatment.,whatcom,Washington
,People with mild symptoms should stay home and rest.,whatcom,Washington
,People who develop symptoms that require medical attention should call their healthcare provider before seeking care.,whatcom,Washington
,For more information on novel coronavirus This is an emerging outbreak with rapidly evolving information.,whatcom,Washington
,Updates will be made as new information emerges on the DOH website and Whatcom County Health Department’s website.,whatcom,Washington
,The Washington State Department of Health has established a call center to address questions from the public.,whatcom,Washington
,"If you have questions about what is happening in Washington state, how the virus is spread, and what to do if you have symptoms, please call 1-800-525-0127 and press #.",whatcom,Washington
,"General questions about COVID-19 in Whatcom County can also be sent via email to covid@co.whatcom.wa.us   ### 509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health",whatcom,Washington
,"WHATCOM COUNTY   Regina A. Delahunt, Director Health Department  Greg Stern, M.D., Health Officer FOR IMMEDIATE RELEASE February 29, 2020",whatcom,Washington
,"Media Contact:   Melissa Morin, Communications Specialist Phone:     (360) 778-6022; (360) 594-2504 E-mail address:    mmorin@whatcomcounty.us          Whatcom County Health Department Responding to COVID-19 Developments",whatcom,Washington
,"BELLINGHAM, WA – There continues to be no cases of COVID-19 and no persons under investigation in Whatcom County at this time.",whatcom,Washington
,"However, following the recent identification of five new presumptive positive cases, the risk is increasing in Washington state.",whatcom,Washington
,"“Given what is happening in Washington state, we believe we are in the early stages of what we anticipate to be wider spread in the United States,” Whatcom County Health Officer Dr. Greg Stern reports.",whatcom,Washington
,“Our efforts now are focused on slowing the spread of disease to lessen disruption to our community and healthcare system.”,whatcom,Washington
